القسم,البند,النوع_أو_المنصة,القيمة,ماذا_يظهر_للمستخدم,الملف
المالك,إضافة إعلان,مجاني,بدون اشتراك,يُرسل غالباً لسوق المسوّقين إن لم تكتمل رخصة REGA,lib/core/subscription/app_subscription_gate.dart
المالك,طلب عقاري عادي,مجاني,بدون اشتراك,30 ر.س فقط عند اختيار فوري,lib/core/subscription/app_subscription_gate.dart
المالك,إتمام صفقة,مجاني,بدون اشتراك,مجاني لغير المسوّق,lib/core/subscription/app_subscription_gate.dart
المسوّق,إضافة إعلان,يلزم اشتراك,marketingFeatureAccess,بوابة قبل النشر,lib/core/subscription/app_subscription_gate.dart
المسوّق,طلب عقاري,حصة الباقة,listingRequestsAllowance,يُمنع عند نفاد الحصة,lib/core/subscription/app_subscription_gate.dart
المسوّق,إتمام صفقة,حصة عروض السوق,marketOfferAllowance,زر اشترك بدل إتمام عند النفاد,lib/core/subscription/app_subscription_gate.dart
طرق الدفع,بطاقة محفوظة,كل البيئات عند Moyasar,savedCard,تظهر أولاً إن وُجدت بطاقة جاهزة,lib/core/payment/payment_platform_detector.dart
طرق الدفع,بطاقة جديدة,كل البيئات,newCardMoyasar,دائماً ظاهرة,lib/core/payment/payment_platform_detector.dart
طرق الدفع,مدى,كل البيئات,mada,دائماً عند تفعيل الدفع,lib/core/payment/payment_platform_detector.dart
طرق الدفع,Google Pay,أندرويد أصلي أو Chrome/Edge ويب,googlePay,ويندوز ويب نعم إن كان Chromium,lib/core/payment/payment_platform_detector.dart
طرق الدفع,Apple Pay,iOS أصلي أو Safari,applePay,لا على ويندوز ولا Chrome,lib/core/payment/payment_platform_detector.dart
طرق الدفع,STC Pay,أندرويد أصلي أو ويب جوال أندرويد Chrome,stcPay,لا iOS ولا ويندوز سطح مكتب,lib/core/payment/payment_platform_detector.dart
طرق الدفع,Tabby,تطبيق أصلي فقط + Moyasar حي,tabby,لا ويب,lib/core/payment/payment_platform_detector.dart
طرق الدفع,Tamara,تطبيق أصلي فقط + Moyasar حي,tamara,لا ويب,lib/core/payment/payment_platform_detector.dart
مسار الدفع,اختيار باقة,تسويق,SubscriptionPlansScreen,بعدها الدفع,lib/screens/subscriptions/subscription_plans_screen.dart
مسار الدفع,الدفع,Moyasar,PaymentCheckoutScreen / MoyasarSubscriptionPaymentScreen,حسب نوع العملية,lib/screens/subscriptions/payment_checkout_screen.dart
مسار الدفع,حفظ بطاقة,كل المستخدمين,PaymentMethodsScreen / AddPaymentCardScreen,إدارة البطاقات,lib/screens/subscriptions/payment_methods_screen.dart
مسار الدفع,السجل,كل المستخدمين,PaymentHistoryScreen,سجل العمليات,lib/screens/subscriptions/payment_history_screen.dart
مسار الدفع,فاتورة,كل المستخدمين,InvoiceDetailScreen / PaymentReceiptScreen,تفاصيل الفاتورة,lib/screens/subscriptions/invoice_detail_screen.dart
مسار الدفع,الفوري,مالك/مستخدم,InstantMarketRequestPaymentService,30 ر.س,lib/services/instant_market_request_payment_service.dart
ملفات,الخدمة,خلفية,subscription_service.dart,كتالوج الباقات والحصص,lib/services/subscription_service.dart
ملفات,البوابة,خلفية,app_subscription_gate.dart,ماذا يُسمح لكل دور,lib/core/subscription/app_subscription_gate.dart
ملفات,الدفع,خلفية,payment_service.dart,Moyasar الحي,lib/services/payment_service.dart
ملفات,الجذر,واجهة,subscriptions_root_screen.dart,تبويبات حسب الدور,lib/screens/subscriptions/subscriptions_root_screen.dart
ملفات,الفريق,منشأة/مسوّق,manage_team_subscription_screen.dart,المقاعد,lib/screens/subscriptions/manage_team_subscription_screen.dart
ملفات,الاستخدام,تسويق,subscription_details_screen.dart / plan_details_screen.dart,الحصص المستهلكة,lib/screens/subscriptions/subscription_details_screen.dart
ملفات,خصم التجديد,سياسة العرض,10٪ شهري تلقائي و20٪ سنوي بدون تجديد,سطر السياسة تحت البطاقة,lib/core/subscription/plan_display_copy.dart
